"Abbas, Safia","Sawamura, Hajime",,,,,,,,
"Jeong, Hogyeong","Biswas, Gautam",,,,,,,,
"Jeong, Hogyeong","Biswas, Gautam","Johnson, Julie","Howard, Larry",,,,,,
"Jiang, Suhang","Williams, Adrienne E.","Schenke, Katerina","Warschauer, Mark","O'Dowd, Diane",,,,,
"Jiang, Yang","Paquette, Luc","Baker, Ryan S.J.d.","Clarke-Midura, Jody",,,,,,
"Jiang, Yuheng","Golab, Lukasz",,,,,,,,
"Jiang, Zhuoxuan","Li, Peng","Zhang, Yan","Li, Xiaoming",,,,,,
"Jiang, Zhuoxuan","Zhang, Yan","Liu, Chi","Li, Xiaoming",,,,,,
"Jing, Shumin",,,,,,,,,
"Jo, Jaechoon","Lim, Heuiseok",,,,,,,,
"Jo, Yohan","Tomar, Gaurav Singh","Ferschke, Oliver","Rose, Carolyn P.","Gašević, Dragan",,,,,
"Johnson, Matthew W.","Barnes, Tiffany",,,,,,,,
"Johnson, Matthew W.","Eagle, Michael J.","Barnes, Tiffany",,,,,,,
"Johnson, Matthew W.","Eagle, Michael J.","Joseph, Leena","Barnes, Tiffany",,,,,,
